"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1594","Validates the response when trying to get a booking by invalid id","Gradle suite","Tue Sep 30 14:31:00 CST 2025","passed","Tue Sep 30 14:31:01 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","326","Validates that the response code of the API is 200","Gradle suite","Tue Sep 30 14:31:06 CST 2025","passed","Tue Sep 30 14:31:07 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"","1416","Gets a booking by id","Gradle suite","Tue Sep 30 14:31:03 CST 2025","passed","Tue Sep 30 14:31:05 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","1582","Validates the response when trying to get a booking by invalid id","Parallel Test Suite","Mon Sep 29 15:36:29 CST 2025","broken","Mon Sep 29 15:36:31 CST 2025","com.lando.tests.booking.BookingTest","Chrome Test 1","com.lando.tests.booking.BookingTest","getBookingByInvalidId"
"","1699","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Tue Sep 30 14:31:01 CST 2025","passed","Tue Sep 30 14:31:03 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","578","Validates that a booking can be deleted","Gradle suite","Tue Sep 30 14:31:06 CST 2025","passed","Tue Sep 30 14:31:06 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"POST API endpoint to create a booking","1003","Validates that the API is creating a booking","Gradle suite","Tue Sep 30 14:31:05 CST 2025","passed","Tue Sep 30 14:31:06 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","336","Validates that API is responding with Id's","Gradle suite","Tue Sep 30 14:31:05 CST 2025","passed","Tue Sep 30 14:31:05 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","1561","Validates that a given booking can be updated","Gradle suite","Tue Sep 30 14:31:07 CST 2025","passed","Tue Sep 30 14:31:08 CST 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
